id,name,category,image,distance,detail_url
1,롤링파스타 부산경성대점,양식,,507,https://m.place.naver.com/restaurant/1586990780/home
2,물레방아즉석구이,한식,,766,https://m.place.naver.com/restaurant/13573518/home
3,종가대박집 대연점,한식,,552,https://m.place.naver.com/restaurant/37953628/home
6,카페 미도리,카페,,1700,https://m.place.naver.com/restaurant/1425130010/home
7,남천홍반장,중식,,1400,https://m.place.naver.com/restaurant/1604298400/home
8,타코비 대연점,일식,,1800,https://m.place.naver.com/restaurant/1162490463/home
9,용소해장국,한식,,626,https://m.place.naver.com/restaurant/1670405006/home
10,완벌집 경성대본점,한식,,486,https://m.place.naver.com/restaurant/1910955538/home
11,카츠백 남구대연점,일식,,1700,https://m.place.naver.com/restaurant/1391332810/home
12,편백찜,한식,,1200,https://m.place.naver.com/restaurant/2073877045/home
13,지성이해물찜,해산물,,470,https://m.place.naver.com/restaurant/2144387995/home
14,미국할매,양식,,288,https://m.place.naver.com/restaurant/2099291416/home
15,코고미식당,일식,,298,https://m.place.naver.com/restaurant/921440765/home
16,아일드블루,카페,,2200,https://m.place.naver.com/restaurant/1138898937/home
17,파파존스 부산남구점,피자,,494,https://m.place.naver.com/restaurant/752963801/home
18,우홍백 돼지국밥 본점,한식,,568,https://m.place.naver.com/restaurant/1342633642/home
19,다정한족발 남천점,한식,,956,https://m.place.naver.com/restaurant/19453419/home
20,버거잇[Burgereat],햄버거,,334,https://m.place.naver.com/restaurant/1116782484/home
21,홍루이젠 부산W스퀘어점,햄버거,,1400,https://m.place.naver.com/restaurant/1982840345/home
22,라신당마라탕 부경대경성대점,중식,,241,https://m.place.naver.com/restaurant/1648615040/home
23,진지와찬,분식,,1900,https://m.place.naver.com/restaurant/2065549482/home
24,시장을여는사람들,한식,,375,https://m.place.naver.com/restaurant/1318402113/home
25,칠칠켄터키 경성대점,치킨,,446,https://m.place.naver.com/restaurant/1269252246/home
26,홍루이젠 부산대연점,카페,,937,https://m.place.naver.com/restaurant/1460720654/home
27,못골맥주 대연동 본점,양식,,1400,https://m.place.naver.com/restaurant/1054183525/home
28,정성숯불두마리치킨 대연점,치킨,,511,https://m.place.naver.com/restaurant/2144493417/home
29,초배집,일식,,1500,https://m.place.naver.com/restaurant/2098352082/home
31,고봉민김밥인 부산대연점,분식,,1900,https://m.place.naver.com/restaurant/20753511/home
32,먹고또먹고,분식,,2100,https://m.place.naver.com/restaurant/19698239/home
33,이천밥쌤 경성대부경대점,일식,,438,https://m.place.naver.com/restaurant/1490273408/home
34,다반,카페,,496,https://m.place.naver.com/restaurant/1517852496/home
35,토핑몬스터피자 대연점,피자,,1600,https://m.place.naver.com/restaurant/2036027448/home
